0,769,785,808,601
0,766,794,815,655
0,760,782,813,577
0,764,793,827,598
0,759,787,824,636
0,734,774,826,570
0,741,773,818,581
0,734,772,817,575
0,742,794,823,684
0,738,777,818,579
0,770,784,824,549
0,767,782,822,545
0,767,793,824,555
0,765,811,817,554
0,762,795,828,586
0,769,791,826,578
0,756,794,831,570
0,760,797,822,636
0,760,794,830,638
0,759,792,830,604
0,769,806,830,613
0,764,808,830,519
0,762,804,826,698
0,764,804,830,642
0,763,805,827,664
0,762,801,839,678
0,762,801,839,657
0,761,802,840,652
0,761,801,837,653
0,762,805,838,651
0,761,797,831,530
0,763,794,826,531
0,759,795,834,569
0,761,796,827,563
0,747,794,830,554
0,757,792,830,553
0,750,784,826,541
0,747,781,822,536
0,734,782,824,538
0,718,784,825,538
0,771,803,825,608
0,771,798,821,605
0,769,792,812,593
0,762,792,821,630
0,775,810,836,608
0,772,808,810,493
0,770,810,838,660
0,768,805,843,602
0,767,801,842,609
0,767,802,840,622
0,760,800,815,610
0,758,805,821,605
0,768,813,829,610
0,763,806,833,636
0,757,800,831,625
0,756,801,827,599
0,755,797,827,575
0,754,799,827,584
0,755,796,828,589
0,756,794,826,588
1,723,798,744,633
1,607,801,747,625
1,776,793,748,619
1,752,793,756,677
1,759,797,780,694
1,619,807,792,692
1,636,802,765,687
1,711,803,727,625
1,707,809,766,683
1,645,801,779,687
1,692,816,811,660
1,693,816,806,642
1,689,813,810,662
1,683,818,820,706
1,688,812,797,680
1,671,815,802,683
1,674,816,805,684
1,675,799,803,674
1,677,801,806,672
1,717,802,814,670
1,675,801,754,631
1,681,798,756,628
1,679,789,736,629
1,687,798,770,683
1,696,792,767,700
1,685,813,760,674
1,686,809,762,673
1,691,801,755,663
1,680,798,740,641
1,681,797,765,673
1,730,800,793,693
1,730,799,779,635
1,737,801,798,644
1,743,791,796,650
1,739,795,804,703
1,739,796,786,693
1,741,792,777,688
1,738,796,784,689
1,734,796,782,686
1,735,795,785,682
1,666,798,759,634
1,671,795,758,659
1,687,793,770,697
1,669,789,774,688
1,799,788,773,686
1,623,787,772,680
1,651,793,772,680
1,740,792,773,679
1,760,789,772,678
1,755,792,768,674
1,691,809,770,679
1,680,800,794,698
1,679,800,786,687
1,677,805,793,686
1,676,804,799,684
1,673,804,793,684
1,674,799,790,668
1,668,809,790,666
1,665,799,796,665
1,665,802,786,663
2,690,777,765,557
2,715,806,780,556
2,705,813,795,565
2,728,821,795,534
2,702,786,782,565
2,705,800,785,567
2,700,774,773,559
2,669,806,810,654
2,691,778,712,547
2,686,778,780,553
2,724,809,760,530
2,715,802,787,605
2,702,795,703,554
2,713,808,791,593
2,730,812,796,628
2,741,820,795,603
2,726,804,794,593
2,696,814,805,613
2,695,809,798,600
2,698,813,796,589
2,679,804,788,579
2,672,800,781,579
2,668,796,784,578
2,670,785,775,579
2,685,815,811,639
2,679,805,797,659
2,674,804,820,680
2,671,799,828,697
2,668,792,718,527
2,668,795,754,506
2,723,818,791,553
2,715,810,778,520
2,715,806,776,519
2,723,806,779,525
2,726,803,792,573
2,713,799,787,541
2,716,805,784,533
2,736,808,769,507
2,771,824,767,498
2,738,805,762,498
2,674,786,790,637
2,673,787,791,627
2,667,783,725,523
2,658,777,731,536
2,659,778,742,561
2,660,777,752,569
2,668,782,799,614
2,665,794,804,614
2,640,769,785,600
2,635,764,778,597
2,673,788,765,549
2,685,789,767,537
2,681,784,760,553
2,682,808,776,553
2,678,796,780,546
2,683,787,774,544
2,713,786,774,544
2,710,783,771,544
2,717,787,773,543
2,706,788,767,540
3,707,804,779,583
3,711,800,775,569
3,706,771,767,540
3,663,775,778,617
3,615,825,763,532
3,605,808,746,552
3,629,822,801,522
3,550,826,780,540
3,558,833,827,514
3,566,811,780,539
3,694,722,750,560
3,699,722,747,560
3,731,748,752,579
3,741,772,748,571
3,735,799,745,552
3,588,839,847,558
3,597,838,846,551
3,598,837,844,588
3,596,844,848,579
3,595,841,850,604
3,692,791,788,612
3,692,791,787,607
3,693,791,789,604
3,692,792,787,603
3,692,792,787,602
3,583,829,775,533
3,586,827,774,534
3,589,829,773,536
3,590,828,771,536
3,592,827,773,541
3,749,787,769,549
3,748,791,771,552
3,747,790,772,551
3,747,790,772,551
3,747,790,772,550
3,556,824,802,591
3,559,824,801,592
3,560,823,800,588
3,560,825,801,588
3,564,822,800,589
3,694,807,785,611
3,694,806,785,612
3,710,815,804,604
3,705,805,785,626
3,703,808,790,634
3,579,828,786,570
3,587,827,787,579
3,592,829,784,579
3,593,826,781,576
3,590,827,780,578
3,716,760,792,559
3,715,771,780,555
3,714,791,767,546
3,712,786,772,547
3,711,788,775,548
3,552,821,800,549
3,550,822,803,546
3,552,820,802,543
3,555,816,801,544
3,559,820,797,544
